Compound_Score,Negative_Score,Neutral_Score,News_Source,Positive_Score,Tweet_Text,Tweets_Ago
-0.4391,0.126,0.874,@BBCNews,0.0,RT @SallyBundockBBC: Apparently it’s #bluemonday2018 - “the most depressing day of the year”. I brought in cup cakes and banana bread for t…,1
0.0,0.0,1.0,@BBCNews,0.0,Scottish Labour MP Hugh Gaffney 'heckled over weight and accent' https://t.co/KAZzRMqxrr,2
0.0,0.0,1.0,@BBCNews,0.0,"Male work patterns see big shift to part-time roles, study says https://t.co/sSYC3KqTvC",3
-0.3182,0.223,0.777,@BBCNews,0.0,Thousands struggle to access childcare on glitchy website https://t.co/fZtsVNr3Cx,4
0.0,0.0,1.0,@BBCNews,0.0,"Scrap 'tens of thousands' migration target, MPs urge https://t.co/J1keGDzMDr",5
-0.3182,0.299,0.513,@BBCNews,0.188,Women urged to share sexual harassment experiences https://t.co/R16IDyeNoi,6
-0.6249,0.339,0.661,@BBCNews,0.0,Carillion crisis: Creditors due to hold Whitehall talks https://t.co/5KJ6J3s0e0,7
-0.875,0.6,0.4,@BBCNews,0.0,Man wanted over crossbow murder found dead https://t.co/syojmVkZQp,8
-0.7579,0.481,0.519,@BBCNews,0.0,Cassie Hayes: Man charged with travel agent murder https://t.co/ebcq9sAs46,9
0.0,0.0,1.0,@BBCNews,0.0,"RT @BBCSport: FT Liverpool 4-3 Man City 

It was a nervy finish, but after 23 games Man City's unbeaten run finally comes to an end.

React…",10
-0.296,0.196,0.804,@BBCNews,0.0,Pressure on UKIP leader over girlfriend's Meghan Markle's texts https://t.co/csT0c5wMyL,11
-0.8225,0.458,0.542,@BBCNews,0.0,Shane Gilmer identified as man killed in Southburn crossbow attack https://t.co/ILEnBrk6ju,12
-0.7717,0.528,0.472,@BBCNews,0.0,Redditch parents mourn third child's heart death https://t.co/yfxVm8jvnB,13
0.7003,0.21,0.269,@BBCNews,0.522,Falklands War 'true hero' Captain Rick Jolly dies https://t.co/58k3dEG6Pm,14
0.4215,0.0,0.741,@BBCNews,0.259,Londoners hit out at 'mistimed' bus safety alerts https://t.co/kWHjCE5mNW,15
0.765,0.0,0.602,@BBCNews,0.398,Puppy in Simon Cowell reward offer turns up safe in Kent https://t.co/cT1XFNh4BL,16
